rnd,pick,team,player,pos,school,state,bonus
1,1,Phillies,Mickey Moniak,OF,"La Costa Canyon HS, Carlsbad, Calif.",CA,"$6,100,000 "
1,2,Reds,Nick Senzel,3B,Tennessee,TN,"$6,200,000 "
1,3,Braves,Ian Anderson,RHP,"Shenendehowa HS, Clifton Park, N.Y.",NY,"$4,000,000 "
1,4,Rockies,Riley Pint,RHP,"St. Thomas Aquinas HS, Overland Park, Kan.",KS,"$4,800,000 "
1,5,Brewers,Corey Ray,OF,Louisville,KY,"$4,125,000 "
1,6,Athletics,A.J. Puk,LHP,Florida,FL,"$4,069,200 "
1,7,Marlins,Braxton Garrett,LHP,Florence (Ala.) HS,AL,"$4,145,900 "
1,8,Padres,Cal Quantrill,RHP,Stanford,CA,"$3,963,045 "
1,9,Tigers,Matt Manning,RHP,"Sheldon HS, Sacramento",CA,"$3,505,800 "
1,10,White Sox,Zack Collins,C,Miami,FL,"$3,380,600 "
1,11,Mariners,Kyle Lewis,OF,Mercer,GA,"$3,286,700 "
1,12,Red Sox,Jason Groome,LHP,Barnegat (N.J.) HS,NJ,"$3,650,000 "
1,13,Rays,Josh Lowe,3B,"Pope HS, Marietta, Ga.",GA,"$2,597,500 "
1,14,Indians,Will Benson,OF,"The Westminster Schools, Atlanta",GA,"$2,500,000 "
1,15,Twins,Alex Kirilloff,OF,"Plum HS, Pittsburgh",PA,"$2,817,100 "
1,16,Angels,Matt Thaiss,C,Virginia,VA,"$2,150,000 "
1,17,Astros,Forrest Whitley,RHP,"Alamo Heights HS, San Antonio",TX,"$3,148,000 "
1,18,Yankees,Blake Rutherford,OF,"Chaminade College Prep HS, Canoga Park, Calif.",CA,"$3,282,000 "
1,19,Mets,Justin Dunn,RHP,Boston College,MA,"$2,378,800 "
1,20,Dodgers,Gavin Lux,SS,"Indian Trail HS, Kenosha, Wis.",WI,"$2,314,500 "
1,21,Blue Jays,T.J. Zeuch,RHP,Pittsburgh,PA,"$2,175,000 "
1,22,Pirates,Will Craig,3B,Wake Forest,NC,"$2,253,700 "
1,23,Cardinals,Delvin Perez,SS,"International Baseball Academy, Ceiba, P.R.",PR,"$2,222,500 "
1,24,Padres,Hudson Potts,SS,"Carroll HS, Southlake, Texas",TX,"$1,000,000 "
1,25,Padres,Eric Lauer,LHP,Kent State,OH,"$2,000,000 "
1,26,White Sox,Zack Burdi,RHP,Louisville,KY,"$2,128,500 "
1,27,Orioles,Cody Sedlock,RHP,Illinois,IL,"$2,097,200 "
1,28,Nationals,Carter Kieboom,SS,"Walton HS, Marietta, Ga.",GA,"$2,000,000 "
1,29,Nationals,Dane Dunning,RHP,Florida,FL,"$2,000,000 "
1,30,Rangers,Cole Ragans,LHP,"North Florida Christian HS, Tallahassee, Fla.",FL,"$2,003,400 "
1,31,Mets,Anthony Kay,LHP,Connecticut,CT,"$1,100,000 "
1,32,Dodgers,Will Smith,C,Louisville,KY,"$1,772,500 "
1,33,Cardinals,Dylan Carlson,OF,Elk Grove (Calif.) HS,CA,"$1,350,000 "
1,34,Cardinals,Dakota Hudson,RHP,Mississippi State,MS,"$2,000,000 "
1.5,35,Reds,Taylor Trammell,OF,"Mount Paran Christian School, Kennesaw, Ga.",GA,"$3,200,000 "
1.5,36,Dodgers,Jordan Sheffield,RHP,Vanderbilt,TN,"$1,847,500 "
1.5,37,Athletics,Daulton Jefferies,RHP,California,CA,"$1,600,000 "
1.5,38,Rockies,Robert Tyler,RHP,Georgia,GA,"$1,701,600 "
1.5,39,Diamondbacks,Anfernee Grier,OF,Auburn,AL,"$1,500,000 "
1.5,40,Braves,Joey Wentz,LHP,"Shawnee Mission East HS, Prairie Village, Kan.",KS,"$3,050,000 "
1.5,41,Pirates,Nick Lodolo,LHP,"Damien HS, La Verne, Calif.",CA,Pool
2,42,Phillies,Kevin Gowdy,RHP,Santa Barbara (Calif.) HS,CA,"$3,500,000 "
2,43,Reds,Chris Okey,C,Clemson,SC,"$2,000,000 "
2,44,Braves,Kyle Muller,LHP,Dallas Jesuit Prep,TX,"$2,500,000 "
2,45,Rockies,Ben Bowden,LHP,Vanderbilt,TN,"$1,600,000 "
2,46,Brewers,Lucas Erceg,3B,Menlo (Calif.),CA,"$1,150,000 "
2,47,Athletics,Logan Shore,RHP,Florida,FL,"$1,500,000 "
2,48,Padres,Buddy Reed,OF,Florida,FL,"$1,075,000 "
2,49,White Sox,Alec Hansen,RHP,Oklahoma,OK,"$1,200,000 "
2,50,Mariners,Joe Rizzo,3B,"Oakton HS, Vienna, Va.",VA,"$1,750,000 "
2,51,Red Sox,C.J. Chatham,SS,Florida Atlantic,FL,"$1,100,000 "
2,52,Diamondbacks,Andy Yerzy,C,"York Mills Collegiate Institute, Toronto",ON,"$1,214,100 "
2,53,Rays,Ryan Boldt,OF,Nebraska,NE,"$997,500 "
