rnd,pick,team,player,pos,school,state,bonus,year
1,1,Phillies,Mickey Moniak,OF,"La Costa Canyon HS, Carlsbad, Calif.",CA,6100000,2016
1,2,Reds,Nick Senzel,3B,Tennessee,TN,6200000,2016
1,3,Braves,Ian Anderson,RHP,"Shenendehowa HS, Clifton Park, N.Y.",NY,4000000,2016
1,4,Rockies,Riley Pint,RHP,"St. Thomas Aquinas HS, Overland Park, Kan.",KS,4800000,2016
1,5,Brewers,Corey Ray,OF,Louisville,KY,4125000,2016
1,6,Athletics,A.J. Puk,LHP,Florida,FL,4069200,2016
1,7,Marlins,Braxton Garrett,LHP,Florence (Ala.) HS,AL,4145900,2016
1,8,Padres,Cal Quantrill,RHP,Stanford,CA,3963045,2016
1,9,Tigers,Matt Manning,RHP,"Sheldon HS, Sacramento",CA,3505800,2016
1,10,White Sox,Zack Collins,C,Miami,FL,3380600,2016
1,11,Mariners,Kyle Lewis,OF,Mercer,GA,3286700,2016
1,12,Red Sox,Jason Groome,LHP,Barnegat (N.J.) HS,NJ,3650000,2016
1,13,Rays,Josh Lowe,3B,"Pope HS, Marietta, Ga.",GA,2597500,2016
1,14,Indians,Will Benson,OF,"The Westminster Schools, Atlanta",GA,2500000,2016
1,15,Twins,Alex Kirilloff,OF,"Plum HS, Pittsburgh",PA,2817100,2016
1,16,Angels,Matt Thaiss,C,Virginia,VA,2150000,2016
1,17,Astros,Forrest Whitley,RHP,"Alamo Heights HS, San Antonio",TX,3148000,2016
1,18,Yankees,Blake Rutherford,OF,"Chaminade College Prep HS, Canoga Park, Calif.",CA,3282000,2016
1,19,Mets,Justin Dunn,RHP,Boston College,MA,2378800,2016
1,20,Dodgers,Gavin Lux,SS,"Indian Trail HS, Kenosha, Wis.",WI,2314500,2016
1,21,Blue Jays,T.J. Zeuch,RHP,Pittsburgh,PA,2175000,2016
1,22,Pirates,Will Craig,3B,Wake Forest,NC,2253700,2016
1,23,Cardinals,Delvin Perez,SS,"International Baseball Academy, Ceiba, P.R.",PR,2222500,2016
1,24,Padres,Hudson Potts,SS,"Carroll HS, Southlake, Texas",TX,1000000,2016
1,25,Padres,Eric Lauer,LHP,Kent State,OH,2000000,2016
1,26,White Sox,Zack Burdi,RHP,Louisville,KY,2128500,2016
1,27,Orioles,Cody Sedlock,RHP,Illinois,IL,2097200,2016
1,28,Nationals,Carter Kieboom,SS,"Walton HS, Marietta, Ga.",GA,2000000,2016
1,29,Nationals,Dane Dunning,RHP,Florida,FL,2000000,2016
1,30,Rangers,Cole Ragans,LHP,"North Florida Christian HS, Tallahassee, Fla.",FL,2003400,2016
1,31,Mets,Anthony Kay,LHP,Connecticut,CT,1100000,2016
1,32,Dodgers,Will Smith,C,Louisville,KY,1772500,2016
1,33,Cardinals,Dylan Carlson,OF,Elk Grove (Calif.) HS,CA,1350000,2016
1,34,Cardinals,Dakota Hudson,RHP,Mississippi State,MS,2000000,2016
